observer,recorder,date,Transect,Plot,Species,Individual ,leaf1,leaf 1 DTO,leaf2,leaf 2 DTO,leaf3,leaf 3 DTO,leaf4,leaf 4 DTO,leaf5,leaf 5 DTO,leaf6,leaf 6 DTO,tissue sample number ,DTO for collected tissue ,notes
ERS,EAM,4/20/15,8,C,BD,BD299,0.1,L,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,514,L,
ERS,EAM,4/20/15,8,C,BD,BD335,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/20/15,8,C,BD,BD336,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,C,BH,BH321,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,C,BH,BH323,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/20/15,8,C,BH,BH325,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,C,EG,EG085,5,*,50,"*,B",0.1,*,1,*,40,"*,R",1,*,521,R,"* indicates round, ochre rust"
ERS,EAM,4/20/15,8,C,EG,EG087,5,"*,R,L",1,"*,S",0.1,L,0,NA,0.1,"*,R",10,"R,S,*",522,R,"* indicates round, ochre rust"
ERS,EAM,4/20/15,8,C,EG,EG088,50,"*,R,B",5,"*,B",0.1,*,0,NA,30,"*,R",0.1,L,520,B,"* indicates round, ochre rust"
ERS,EAM,4/20/15,8,C,SP,SP089,1,A,0.1,A,0.1,A,5,A,5,A,5,A,523,A,
ERS,EAM,4/20/15,8,C,SP,SP090,1,A,5,A,1,A,0.1,J,25,"A,B",0.1,A,524,J,pic of tissue sample in lab is not high quality
ERS,EAM,4/20/15,8,E,AB,AB329,0.1,K,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,525,K,
ERS,EAM,4/20/15,8,E,AB,AB416,0,NA,0.1,K,NA,NA,NA,NA,NA,NA,NA,NA,526,K,
ERS,EAM,4/20/15,8,E,AB,AB425,5,"R,K",50,R,0,NA,0,NA,NA,NA,NA,NA,527,stem; black interior,
ERS,EAM,4/20/15,8,E,BD,BD443,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,E,BD,BD445,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,E,BD,BD447,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,E,BH,BH409,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,531,NA,not found 
ERS,EAM,4/20/15,8,E,BH,BH417,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,E,BH,BH444,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/20/15,8,E,EG,EG150,50,"I,*",10,"S,*",40,"*,J",1,*,1,"*,S",5,*,534,I,"* indicates round, ochre rust; pic of tissue sample in lab may not show the DTO because leaf was curled"
ERS,EAM,4/17/15,9,A,PA,PA099,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,4/17/15,9,A,PA,PA100,0,NA,0,NA,0,NA,5,"R,B",0,NA,0.1,B,536,R,"rust-colored damage on leaf edge, transitions to yellow moving in from leaf edge"
ERS,EAM,4/17/15,9,A,PA,PA101,0,NA,0,NA,0,NA,0.1,B,0,NA,0,NA,537,B,
ERS,EAM,4/17/15,9,C,BH,BH440,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,no live leaves
ERS,EAM,4/17/15,9,C,BH,BH441,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,9,C,BH,BH442,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,9,C,PA,PA105,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,4/17/15,9,C,PA,PA106,0,NA,0,NA,0.1,L,0,NA,0,NA,0,NA,542,L,
ERS,EAM,4/17/15,9,C,PA,PA107,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,543,B,found a damaged leaf from this individual to culture
ERS,EAM,4/17/15,9,E,AB,AB388,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,9,E,AB,AB397,10,G,10,R,NA,NA,NA,NA,NA,NA,NA,NA,545,R rust-colored damage moving in from the leaf tip,R could be aging
ERS,EAM,4/17/15,9,E,AB,AB398,10,G,10,R,NA,NA,NA,NA,NA,NA,NA,NA,546,R,rust-colored damage moving in from leaf tip
ERS,EAM,4/17/15,9,E,BD,BD368,0.1,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,547,L,
ERS,EAM,4/17/15,9,E,BD,BD4371,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,9,E,BD,BD455,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,9,E,BH,BH427,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,9,E,BH,BH4331,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,551,NA,dead
ERS,EAM,4/17/15,9,E,BH,BH450,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,dead 
ERS,EAM,4/17/15,9,E,PA,PA111,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,553,B,found a damaged leaf from this individual to culture
ERS,EAM,4/17/15,9,E,PA,PA112,0.1,J,0,NA,0,NA,0.1,L,0.1,"L,""J"" with a green halo",0,NA,554,J,
ERS,EAM,4/17/15,10,A,BH,BH356,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,10,A,BH,BH414,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,10,A,BH,BH431,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,not found
ERS,EAM,4/17/15,10,A,PA,PA403,0.1,L,0,NA,0,NA,1,yellow stripe with orange dots,0,NA,0,NA,558,L,* on data sheet = yellow stripe with orange dots
ERS,EAM,4/17/15,10,A,PA,PA434,0,NA,0,NA,0,NA,0,NA,0,NA,1,B,559,B,
ERS,EAM,4/17/15,10,A,PA,PA435,0,NA,0,NA,0,NA,0,NA,0.1,L,0,NA,560,L,lost tissue piece during plating 
ERS,EAM,4/17/15,10,C,BD,BD362,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,561,K,not found; sampled unmarked plant in plot
ERS,EAM,4/17/15,10,C,BD,BD371,0,NA,0,NA,0,NA,5,B,0.1,L,0,NA,562,B,
ERS,EAM,4/17/15,10,C,BH,BH363,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,563,J,not found; sampled unmarked plant in plot
ERS,EAM,4/17/15,10,C,PA,PA628,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,PA not found in plot 
ERS,EAM,4/17/15,10,C,PA,PA629,5,B,1,B,0.1,B,0,NA,0,NA,0,NA,565,B,
ERS,EAM,4/17/15,10,C,PA,PA640,0,NA,1,"R,L",0,NA,0,NA,0,NA,1,R,566,R,rust-colored damage moving in from leaf edge
ERS,EAM,4/17/15,10,E,AB,AB378,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,10,E,AB,AB407,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,10,E,AB,AB408,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,10,E,BD,BD400,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,4/17/15,10,E,BD,BD418,0,NA,0,NA,0.1,K,NA,NA,NA,NA,NA,NA,571,K,from senesced tissue
ERS,EAM,4/17/15,10,E,BD,BD419,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,572,L,not found; sampled unmarked plant
ERS,EAM,4/17/15,10,E,BD,BH429,0,NA,5,"""J"" with a green halo, L",NA,NA,NA,NA,NA,NA,NA,NA,575,L,plant was mislabeled BH429 and is actually a BD
ERS,EAM,4/17/15,10,E,BH,BH333,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,573,J,not found; sampled unmarked plant
ERS,EAM,4/17/15,10,E,BH,BH413,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,574,R rust-colored damage moving in from the leaf tip,not found; sampled unmarked plant; tissue was in EtOH for longer than intended
ERS,EAM,4/17/15,10,E,PA,PA412,0,NA,0,NA,0,NA,0,NA,0,NA,0.1,L,576,L,
ERS,EAM,4/17/15,10,E,PA,PA638,10,"B,R",0,NA,0,NA,0,NA,0.1,B,0,NA,577,R,
