obs,rec,date,trans,plot,spcode,indiv,leaf1,l1dto,leaf2,l2dto,leaf3,l3dto,leaf4,l4dto,leaf5,l5dto,leaf6,l6dto,notes
ERS,EAM,3/12/15,T1,P1C,AB,AB041,0.1,J,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T1,P1C,BH,BH036,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1C,BH,BH037,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T1,P1C,BH,BH038,0.1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1C,SP,SP033,0.1,A,1,"A,B",1,"A,B",1,A,1,A,5,"A,G",
ERS,EAM,3/12/15,T1,P1C,SP,SP034,0.1,A,0.1,A,25,Q,25,A,0,NA,5,A,
ERS,EAM,3/12/15,T1,P1C,SP,SP035,0.1,B,0,NA,1,B,1,B,1,A,0,NA,
ERS,EAM,3/12/15,T1,P1D,AB,C26,0.1,K,0,NA,0,NA,1,G,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1D,AB,C28,5,G,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1D,AB,C30,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1D,BD,C22,0,NA,1,G,0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1D,BD,C23,0.1,B,0,NA,0.1,J,0,NA,0,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1D,BD,C25,1,G,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1D,SP,C16,0.1,J,0.1,B,0.1,J,0.1,J,0,NA,0.1,L,
ERS,EAM,3/12/15,T1,P1D,SP,C17,0.1,J,0,NA,5,"A,Q",0,NA,5,"Q,J,B",0.1,J,
ERS,EAM,3/12/15,T1,P1D,SP,C19,1,J,0,NA,25,"Q,B,L",5,Q,10,"Q,J,B",0.1,J,
ERS,EAM,3/12/15,T1,P1E,AB,AB044,0,NA,0,NA,0,NA,0,NA,1,L,0,NA,
ERS,EAM,3/12/15,T1,P1E,AB,AB045,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1E,AB,AB046,1,"J,G",0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1E,BH,BH047,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1E,BH,BH048,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1E,BH,BH049,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T1,P1E,SP,SP042,0.1,J,0,NA,0.1,J,0,NA,1,B,0.1,J,
ERS,EAM,3/12/15,T1,P1E,SP,SP043,0,NA,1,K,0,NA,0,NA,0.1,L,0,NA,
ERS,EAM,3/16/15,T10,T10A,BH,BH356,1,B,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10A,BH,BH414,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10A,BH,BH431,10,B,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,APHIDS- LEAF1
ERS,EAM,3/14/15,T10,T10A,PA,PA403,0,NA,0,NA,0,NA,0,NA,0,NA,0.1,L,
ERS,EAM,3/14/15,T10,T10A,PA,PA434,0,NA,0,NA,0,NA,0.1,J,0.1,J,0,NA,
ERS,EAM,3/14/15,T10,T10A,PA,PA435,0.1,L,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T10,T10B,BH,BH406,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10B,BH,BH436,5,R,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T10,T10B,PA,PA364,0,NA,25,I,0,NA,1,D,0,NA,0.1,J,
ERS,EAM,3/14/15,T10,T10B,PA,PA396,0,NA,0.1,L,5,I,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T10,T10B,PA,PA402,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T10,T10C,BD,BD362,0.1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10C,BD,BD371,10,B,1,G,0.1,L,0.1,L,0,NA,0.1,L,
ERS,EAM,3/16/15,T10,T10C,BH,BH363,1,M,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T10,T10C,PA,PA628,0,NA,0.1,C,0,NA,0.1,J,0,NA,0.1,J,
ERS,EAM,3/14/15,T10,T10C,PA,PA629,0,NA,0,NA,0.1,L,0,NA,0.1,L,25,E,
ERS,EAM,3/14/15,T10,T10C,PA,PA640,0,NA,0,NA,0,NA,0,NA,0,NA,0.1,J,
ERS,EAM,3/16/15,T10,T10D,AB,AB401,5,G,1,G,1,G,0,NA,0,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10D,AB,AB410,0,NA,0,NA,0,NA,1,"L,G",0.1,L,0,NA,
ERS,EAM,3/16/15,T10,T10D,AB,AB420,5,G,5,G,0.1,L,0.1,K,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10D,BD,BD392,0.1,L,0,NA,0,NA,0,NA,0.1,L,0,NA,
ERS,EAM,3/16/15,T10,T10D,BD,BD423,0.1,G,0,NA,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10D,BD,BD457,0.1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10D,BH,BH382,1,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10D,BH,BH4343,10,I,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10D,BH,BH777,0.1,J,0,NA,1,"J,L",NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T10,T10D,PA,PA621,0,NA,0.1,L,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T10,T10D,PA,PA623,0,NA,0,NA,0.1,L,0,NA,0,NA,0,NA,
ERS,EAM,3/14/15,T10,T10D,PA,PA624,0,NA,0,NA,0,NA,0,NA,0,NA,5,M,
ERS,EAM,3/16/15,T10,T10E,AB,AB378,1,"J,G",0.1,J,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10E,AB,AB407,1,G,0,NA,0.1,G,1,L,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10E,AB,AB408,1,G,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10E,BD,BD400,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10E,BD,BD418,1,L,0,NA,0.1,L,0.1,J,0,NA,0,NA,
ERS,EAM,3/16/15,T10,T10E,BD,BD419,0.1,L,0,NA,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10E,BH,BH333,0,NA,0,NA,10,R,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10E,BH,BH413,0.1,J,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T10,T10E,BH,BH429,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T10,T10E,PA,PA412,0,NA,0,NA,0.1,L,0,NA,1,J,0,NA,
ERS,EAM,3/14/15,T10,T10E,PA,PA638,1,M,0,NA,0,NA,1,M,0,NA,0,NA,
ERS,ERS,3/12/15,T2,P2A,PA,PA063,0,NA,0,NA,0.1,L,0,NA,0,NA,0,NA,
ERS,ERS,3/12/15,T2,P2A,PA,PA064,0,NA,0,NA,0.1,M,0,NA,0,NA,0,NA,
ERS,ERS,3/12/15,T2,P2A,PA,PA068,0,NA,0,NA,0,NA,0,NA,1,M,0.1,L,
ERS,ERS,3/12/15,T2,P2B,PA,PA060,0.1,J,0,NA,0,NA,1,M,0,NA,0,NA,
ERS,ERS,3/12/15,T2,P2B,PA,PA061,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,SEE PIC OF DTO B
ERS,ERS,3/12/15,T2,P2B,PA,PA062,0,NA,0.1,M,0.1,M,0,NA,1,B,0,NA,
ERS,EAM,3/12/15,T2,P2C,AB,AB007,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,"TIP OF LEAF4 DEAD, BUT NOT OBVIOSULY PATH"
ERS,EAM,3/12/15,T2,P2C,AB,AB008,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T2,P2C,AB,AB009,1,K,0,NA,0,NA,0,NA,0,NA,0.1,K,
ERS,EAM,3/12/15,T2,P2C,PA,PA001,0,NA,0,NA,0,NA,0,NA,5,M,0,NA,
ERS,EAM,3/12/15,T2,P2C,PA,PA002,0,NA,0,NA,0,NA,0,NA,5,M,0,NA,
ERS,EAM,3/12/15,T2,P2C,PA,PA003,0,NA,0,NA,0.1,D,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T2,P2C,SP,SP004,1,"A,J",1,L,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T2,P2C,SP,SP005,0,NA,0,NA,1,A,0.1,L,1,D,0,NA,
ERS,EAM,3/12/15,T2,P2C,SP,SP006,0,NA,0,NA,0.1,"J,L",0,NA,0,NA,0.1,J,
ERS,EAM,3/12/15,T2,P2D,AB,AB015,0,NA,1,M,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T2,P2D,AB,AB016,0.1,J,0,NA,0,NA,50,L,0,NA,1,B,
ERS,EAM,3/12/15,T2,P2D,AB,AB017,0,NA,0.1,J,0,NA,1,G,5,B,0,NA,
ERS,EAM,3/12/15,T2,P2D,PA,PA010,0,NA,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T2,P2D,PA,PA011,0,NA,0,NA,0.1,M,0,NA,5,P,0.1,M,
ERS,EAM,3/12/15,T2,P2D,SP,SP012,0,NA,1,B,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T2,P2D,SP,SP013,0.1,J,5,"L,Q",0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/12/15,T2,P2D,SP,SP014,0,NA,0.1,J,1,B,0,NA,0,NA,5,K,
ERS,EAM,3/12/15,T2,P2E,AB,AB021,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T2,P2E,AB,AB022,0.1,G,0.1,G,0.1,G,0,NA,NA,NA,NA,NA,
ERS,EAM,3/12/15,T2,P2E,AB,AB023,1,G,0,NA,0.1,G,0.1,K,1,G,0,NA,
ERS,EAM,3/12/15,T2,P2E,SP,SP018,1,A,1,A,1,A,0,NA,0,NA,1,A,
ERS,EAM,3/12/15,T2,P2E,SP,SP019,1,A,1,A,1,D,1,A,1,A,1,A,
ERS,EAM,3/12/15,T2,P2E,SP,SP020,5,A,5,A,5,A,1,A,5,A,5,A,
ERS,EAM,3/13/15,T3,P3A,AB,C49,0.1,J,0.1,J,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3A,AB,C54,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3A,AB,C55,5,G,0.1,J,5,K,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3A,BH,C46,25,M,5,M,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3A,BH,C48,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3A,BH,C50,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3A,SP,C41,0,NA,0.1,J,10,B,0.1,L,0.1,L,1,B,
ERS,EAM,3/13/15,T3,P3A,SP,C42,1,A,20,"A,R",25,S,1,L,5,"A,L",1,S,
ERS,EAM,3/13/15,T3,P3A,SP,C47,5,A,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3B,AB,AB199,0,NA,0,NA,0,NA,10,K,0,NA,1,B,
ERS,EAM,3/13/15,T3,P3B,AB,AB203,5,K,0,NA,0.1,K,5,G,0,NA,0,NA,
ERS,EAM,3/13/15,T3,P3B,AB,AB204,0,NA,1,K,0,NA,0,NA,0,NA,0.1,K,
ERS,EAM,3/13/15,T3,P3B,BD,BD205,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3B,BD,BD206,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3B,BD,BD207,0.1,L,0,NA,0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3B,SP,SP196,0,NA,0,NA,10,B,5,B,5,B,5,A,
ERS,EAM,3/13/15,T3,P3B,SP,SP197,5,B,0.1,J,0.1,J,0.1,J,25,B,0.1,A,
ERS,EAM,3/13/15,T3,P3B,SP,SP198,0.1,L,0.1,L,0.1,A,10,D,10,"A,B",0,NA,
ERS,EAM,3/13/15,T3,P3C,AB,AB209,1,G,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3C,AB,AB210,0.1,K,0.1,K,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3C,AB,AB211,10,K,5,K,0,NA,0.1,K,5,K,NA,NA,
ERS,EAM,3/13/15,T3,P3C,BH,BH217,1,L,0,NA,1,J,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3C,BH,BH218,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3C,BH,BH219,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3C,SP,SP201,5,B,1,B,5,B,1,A,5,B,0,NA,
ERS,EAM,3/13/15,T3,P3C,SP,SP202,0.1,J,0.1,J,1,A,1,"A,B",5,A,5,A,
ERS,EAM,3/13/15,T3,P3C,SP,SP208,1,A,10,A,0,NA,0,NA,0.1,A,1,B,
ERS,EAM,3/13/15,T3,P3D,AB,C72,25,G,0,NA,1,G,1,K,0,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,AB,C74,1,K,0,NA,0.1,K,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,AB,C75,25,G,0,NA,0,NA,0.1,K,0.1,K,0,NA,
ERS,EAM,3/13/15,T3,P3D,BD,BD214,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,BD,BD215,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,BD,BD216,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,BH,C62,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,BH,C63,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,BH,C65,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3D,SP,C57,0,NA,1,A,0,NA,5,A,1,B,1,B,
ERS,EAM,3/13/15,T3,P3D,SP,C58,0,NA,0.1,J,5,B,5,A,0,NA,1,A,
ERS,EAM,3/13/15,T3,P3D,SP,C60,0.1,J,0,NA,0.1,J,0.1,J,1,A,1,A,
ERS,EAM,3/13/15,T3,P3E,AB,AB212,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,AB,AB232,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,AB,AB245,0.1,J,0,NA,10,K,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,BD,BD241,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,BD,BD242,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,BD,BD243,1,J,0,NA,0,NA,0.1,J,0,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,BH,BH230,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,BH,BH239,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T3,P3E,SP,SP213,0.1,J,25,B,0.1,J,1,"J,L",0.1,L,0.1,J,
ERS,EAM,3/16/15,T4,P4A,AB,AB267,1,"L,J",5,G,0,NA,0.1,J,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4A,AB,AB273,0,NA,0,NA,0,NA,0.1,"J,L",0,NA,0.1,J,
ERS,EAM,3/16/15,T4,P4A,AB,AB274,0,NA,0.1,J,0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4A,BH,BH2712,0.1,L,0,NA,0,NA,NA,NA,NA,NA,NA,NA,4 DIGIT CODE BECAUSE NUMBERS WIPED OFF
ERS,EAM,3/16/15,T4,P4A,BH,BH275,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4A,BH,BH278,0,NA,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T4,P4A,SP,SP071,1,A,1,A,0.1,A,1,A,5,A,5,A,
ERS,EAM,3/14/15,T4,P4A,SP,SP072,0.1,A,1,A,0,NA,0.1,J,1,A,0,NA,
ERS,EAM,3/14/15,T4,P4A,SP,SP073,0,NA,10,"A,B",0.1,A,1,A,0.1,A,0.1,A,
ERS,EAM,3/16/15,T4,P4B,AB,AB280,1,K,0,NA,1,K,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4B,AB,AB285,0.1,J,0.1,J,0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4B,AB,AB286,5,G,0.1,J,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4B,BD,BD292,10,L,1,L,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4B,BH,BH281,0.1,L,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4B,BH,BH282,0,NA,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4B,BH,BH284,10,L,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T4,P4B,SP,SP074,0.1,A,1,A,0.1,A,5,A,5,A,1,A,
ERS,EAM,3/14/15,T4,P4B,SP,SP075,0.1,A,0.1,A,1,A,1,A,0.1,A,5,"A,R",
ERS,EAM,3/14/15,T4,P4B,SP,SP076,0,NA,5,B,0,NA,0,NA,0,NA,10,"A,R",
ERS,EAM,3/16/15,T4,P4C,AB,AB287,25,G,0.1,J,0.1,J,0,NA,1,G,NA,NA,
ERS,EAM,3/16/15,T4,P4C,AB,AB288,1,G,0.1,J,0,NA,0.1,J,10,R,1,G,
ERS,EAM,3/16/15,T4,P4C,AB,AB294,0,NA,0,NA,0,NA,0,NA,5,G,NA,NA,
ERS,EAM,3/16/15,T4,P4C,BD,BD289,0.1,L,0,NA,0.1,J,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4C,BD,BD300,0.1,L,0,NA,0,NA,0,NA,0,NA,0,NA,
ERS,EAM,3/16/15,T4,P4C,BD,BD319,5,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4C,BH,BH290,10,U,0.1,L,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4C,BH,BH291,1,L,0,NA,0,NA,0.1,L,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4C,BH,BH309,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T4,P4C,SP,SP077,5,A,1,A,1,A,1,A,0.1,A,10,A,
ERS,EAM,3/14/15,T4,P4C,SP,SP078,10,A,5,A,1,A,5,A,0.1,A,0.1,A,
ERS,EAM,3/14/15,T4,P4C,SP,SP079,1,A,0.1,A,5,"A,B",5,A,1,A,1,A,
ERS,EAM,3/16/15,T4,P4D,AB,AB302,0,NA,0,NA,0.1,J,5,G,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,AB,AB316,5,K,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,AB,AB324,5,G,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,BD,BD310,0,NA,0,NA,0,NA,0.1,J,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,BD,BD311,0,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,BD,BD312,1,J,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,BH,BH313,5,L,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,BH,BH314,50,I,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4D,BH,BH315,0,NA,0,NA,0,NA,5,L,NA,NA,NA,NA,
ERS,EAM,3/14/15,T4,P4D,SP,SP080,0.1,J,1,B,0,NA,1,A,0.1,A,1,B,
ERS,EAM,3/14/15,T4,P4D,SP,SP081,0,NA,0,NA,0.1,A,0.1,A,0.1,A,0.1,A,
ERS,EAM,3/16/15,T4,P4E,AB,AB338,0.1,K,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,AB,AB339,1,G,0,NA,10,G,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,AB,AB346,0.1,K,1,G,0,NA,0.1,K,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,BD,BD304,0.1,L,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,BD,BD305,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,BD,BD306,25,I,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,BH,BH298,25,L,50,I,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,BH,BH307,50,I,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/16/15,T4,P4E,BH,BH341,0.1,J,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/14/15,T4,P4E,SP,SP082,0.1,A,0.1,A,0.1,L,0,NA,0.1,A,1,A,
ERS,EAM,3/13/15,T5,T5A,BD,BD151,0,NA,0.1,J,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5A,BD,BD152,0,NA,0,NA,0,NA,0,NA,0,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5A,BD,BD153,0,NA,0,NA,0.1,D,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5A,BH,BH157,0,NA,0,NA,0.1,J,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5A,BH,BH158,0,NA,0,NA,1,D,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5A,BH,BH159,0,NA,0,NA,0,NA,1,D,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5A,EG,EG154,0,NA,1,J,0,NA,5,B,0.1,J,0.1,L,
ERS,EAM,3/13/15,T5,T5A,EG,EG155,0.1,J,0.1,J,0,NA,0.1,L,1,H,0,NA,
ERS,EAM,3/13/15,T5,T5A,EG,EG156,0.1,J,0,NA,0,NA,0,NA,5,B,0.1,J,
ERS,EAM,3/13/15,T5,T5B,AB,AB165,5,K,25,"G,K",NA,NA,NA,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5B,AB,AB166,0,NA,5,K,5,G,0,NA,0.1,J,NA,NA,
ERS,EAM,3/13/15,T5,T5B,AB,AB167,0,NA,0.1,J,1,K,0,NA,0,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5B,BD,BD163,1,J,0,NA,0,NA,0,NA,NA,NA,NA,NA,
ERS,EAM,3/13/15,T5,T5B,BD,BD164,0,NA,0,NA,0,NA,NA,NA,NA,NA,NA,NA,
