year,experiment,plot,subplot,host,plant,leaf,infected,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,transect,transect_3,transect_3A,AB,12,leaf2f,1,10,53.66666666,1,non-native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,EG,13,leaf2f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,SP,14,leaf2f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,SP,15,leaf2f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,SP,16,leaf2f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3C,SP,17,leaf2f,1,8,700,0,native,708,-0.2222453748057201,0.6834101793467044
2016,transect,transect_3,transect_3C,SP,18,leaf2f,1,8,700,0,native,708,-0.2222453748057201,0.6834101793467044
2016,transect,transect_3,transect_3C,SP,19,leaf2f,1,8,700,0,native,708,-0.2222453748057201,0.6834101793467044
2016,transect,transect_3,transect_3E,EG,20,leaf2f,1,1,656,0,native,657,-1.3640564747250155,0.5676076842580781
2016,transect,transect_3,transect_3E,SP,21,leaf2f,1,1,656,0,native,657,-1.3640564747250155,0.5676076842580781
2016,transect,transect_3,transect_3E,SP,22,leaf2f,1,1,656,0,native,657,-1.3640564747250155,0.5676076842580781
2016,transect,transect_4,transect_4A,EG,23,leaf2f,1,12,61,0,native,73,0.43021811086244865,-0.998357874326757
2016,transect,transect_4,transect_4A,SP,24,leaf2f,1,12,61,0,native,73,0.43021811086244865,-0.998357874326757
2016,transect,transect_4,transect_4A,SP,25,leaf2f,1,12,61,0,native,73,0.43021811086244865,-0.998357874326757
2016,transect,transect_4,transect_4C,EG,26,leaf2f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
2016,transect,transect_4,transect_4C,SP,27,leaf2f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
2016,transect,transect_4,transect_4C,SP,28,leaf2f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
2016,transect,transect_4,transect_4C,SP,29,leaf2f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
2016,transect,transect_4,transect_4E,EG,30,leaf2f,0,3,375.33333333,0,native,378.33333333,-1.037824731890931,-0.1710718677554182
2016,transect,transect_4,transect_4E,SP,31,leaf2f,1,3,375.33333333,0,native,378.33333333,-1.037824731890931,-0.1710718677554182
2016,transect,transect_4,transect_4E,SP,32,leaf2f,0,3,375.33333333,0,native,378.33333333,-1.037824731890931,-0.1710718677554182
2016,transect,transect_4,transect_4E,SP,33,leaf2f,0,3,375.33333333,0,native,378.33333333,-1.037824731890931,-0.1710718677554182
2016,transect,transect_5,transect_5A,EG,34,leaf2f,1,22,65.33333333,0,native,87.33333333,2.0613768250328706,-0.9869530831525591
2016,transect,transect_5,transect_5C,EG,37,leaf2f,1,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5C,EG,38,leaf2f,0,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5C,EG,39,leaf2f,1,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5C,SP,40,leaf2f,1,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5C,SP,41,leaf2f,0,9,147,0,native,156,-0.05912950338867791,-0.77201663392626
2016,transect,transect_5,transect_5E,BD,42,leaf2f,0,0,247.99999996,1,non-native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_5,transect_5E,EG,43,leaf2f,1,0,247.99999996,0,native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_5,transect_5E,EG,44,leaf2f,1,0,247.99999996,0,native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_5,transect_5E,SP,45,leaf2f,0,0,247.99999996,0,native,247.99999996,-1.5271723461420577,-0.5061972703053697
2016,transect,transect_6,transect_6A,AB,46,leaf2f,0,16,463.22222222,1,non-native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,AB,47,leaf2f,0,16,463.22222222,1,non-native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,EG,48,leaf2f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,EG,49,leaf2f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,EG,50,leaf2f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,SP,51,leaf2f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,SP,52,leaf2f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6A,SP,53,leaf2f,1,16,463.22222222,0,native,479.22222222,1.0826815965306174,0.06024069188160588
2016,transect,transect_6,transect_6C,AB,55,leaf2f,1,9,1051,1,non-native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,EG,56,leaf2f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,EG,57,leaf2f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,EG,58,leaf2f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,SP,59,leaf2f,0,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6C,SP,60,leaf2f,1,9,1051,0,native,1060,-0.05912950338867791,1.6071982651673382
2016,transect,transect_6,transect_6E,AB,61,leaf2f,0,2,1400.00000007,1,non-native,1402.00000007,-1.2009406033079733,2.5257226013954477
2016,transect,transect_6,transect_6E,EG,62,leaf2f,1,2,1400.00000007,0,native,1402.00000007,-1.2009406033079733,2.5257226013954477
2016,transect,transect_6,transect_6E,SP,63,leaf2f,1,2,1400.00000007,0,native,1402.00000007,-1.2009406033079733,2.5257226013954477
2016,transect,transect_6,transect_6E,SP,64,leaf2f,1,2,1400.00000007,0,native,1402.00000007,-1.2009406033079733,2.5257226013954477
2016,transect,transect_8,transect_8A,EG,65,leaf2f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,EG,66,leaf2f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,EG,67,leaf2f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,SP,68,leaf2f,1,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,SP,69,leaf2f,0,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8A,SP,70,leaf2f,0,14,105,0,native,119,0.7564498536965331,-0.8825553792381307
2016,transect,transect_8,transect_8C,EG,71,leaf2f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,EG,72,leaf2f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,EG,73,leaf2f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,SP,74,leaf2f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,SP,75,leaf2f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8C,SP,76,leaf2f,1,11,704,0,native,715,0.26710223944540645,0.693937678900216
2016,transect,transect_8,transect_8E,AB,77,leaf2f,0,2,156.55555556,1,non-native,158.55555556,-1.2009406033079733,-0.7468676072033963
2016,transect,transect_8,transect_8E,EG,79,leaf2f,1,2,156.55555556,0,native,158.55555556,-1.2009406033079733,-0.7468676072033963
2016,transect,transect_8,transect_8E,SP,80,leaf2f,1,2,156.55555556,0,native,158.55555556,-1.2009406033079733,-0.7468676072033963
2016,transect,transect_1,transect_1A,EG,2,leaf3f,1,20,32,0,native,52,1.7351450821987862,-1.0746822460897154
2016,transect,transect_1,transect_1A,SP,3,leaf3f,1,20,32,0,native,52,1.7351450821987862,-1.0746822460897154
2016,transect,transect_1,transect_1A,SP,4,leaf3f,1,20,32,0,native,52,1.7351450821987862,-1.0746822460897154
2016,transect,transect_1,transect_1A,SP,5,leaf3f,1,20,32,0,native,52,1.7351450821987862,-1.0746822460897154
2016,transect,transect_1,transect_1C,EG,6,leaf3f,0,3,329,0,native,332,-1.037824731890931,-0.2930154042414868
2016,transect,transect_1,transect_1C,SP,7,leaf3f,1,3,329,0,native,332,-1.037824731890931,-0.2930154042414868
2016,transect,transect_1,transect_1C,SP,8,leaf3f,1,3,329,0,native,332,-1.037824731890931,-0.2930154042414868
2016,transect,transect_1,transect_1C,SP,9,leaf3f,1,3,329,0,native,332,-1.037824731890931,-0.2930154042414868
2016,transect,transect_1,transect_1E,SP,11,leaf3f,1,2,880,0,native,882,-1.2009406033079733,1.1571476592547218
2016,transect,transect_3,transect_3A,AB,12,leaf3f,1,10,53.66666666,1,non-native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,EG,13,leaf3f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,SP,14,leaf3f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,SP,15,leaf3f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3A,SP,16,leaf3f,1,10,53.66666666,0,native,63.66666666,0.10398636802836428,-1.0176582901924074
2016,transect,transect_3,transect_3C,SP,17,leaf3f,0,8,700,0,native,708,-0.2222453748057201,0.6834101793467044
2016,transect,transect_3,transect_3C,SP,18,leaf3f,1,8,700,0,native,708,-0.2222453748057201,0.6834101793467044
2016,transect,transect_3,transect_3C,SP,19,leaf3f,0,8,700,0,native,708,-0.2222453748057201,0.6834101793467044
2016,transect,transect_3,transect_3E,EG,20,leaf3f,1,1,656,0,native,657,-1.3640564747250155,0.5676076842580781
2016,transect,transect_3,transect_3E,SP,21,leaf3f,1,1,656,0,native,657,-1.3640564747250155,0.5676076842580781
2016,transect,transect_3,transect_3E,SP,22,leaf3f,1,1,656,0,native,657,-1.3640564747250155,0.5676076842580781
2016,transect,transect_4,transect_4A,SP,24,leaf3f,1,12,61,0,native,73,0.43021811086244865,-0.998357874326757
2016,transect,transect_4,transect_4A,SP,25,leaf3f,1,12,61,0,native,73,0.43021811086244865,-0.998357874326757
2016,transect,transect_4,transect_4C,EG,26,leaf3f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
2016,transect,transect_4,transect_4C,SP,27,leaf3f,1,10,476,0,native,486,0.10398636802836428,0.09387020435006069
