group,prevalence,scenario,transmission,spillover,description,species,density
species 2,0,2,dd,0,2: sp. 1 density,species 1,257.1428571428571
species 2,0,2,dd,0,2: sp. 1 density,species 1,263.265306122449
species 2,0,2,dd,0,2: sp. 1 density,species 1,269.3877551020408
species 2,0,2,dd,0,2: sp. 1 density,species 1,275.51020408163265
species 2,0,2,dd,0,2: sp. 1 density,species 1,281.63265306122446
species 2,0,2,dd,0,2: sp. 1 density,species 1,287.7551020408163
species 2,0,2,dd,0,2: sp. 1 density,species 1,293.87755102040813
species 2,0,2,dd,0,2: sp. 1 density,species 1,300
combined,1.4169182999245052e-7,2,dd,0,2: sp. 1 density,species 1,0
combined,0.10848232178475722,2,dd,0,2: sp. 1 density,species 1,6.122448979591836
combined,0.16770558968291574,2,dd,0,2: sp. 1 density,species 1,12.244897959183673
combined,0.20223534856003347,2,dd,0,2: sp. 1 density,species 1,18.36734693877551
combined,0.22485144562495,2,dd,0,2: sp. 1 density,species 1,24.489795918367346
combined,0.24081253593306762,2,dd,0,2: sp. 1 density,species 1,30.612244897959183
combined,0.2526792077343862,2,dd,0,2: sp. 1 density,species 1,36.73469387755102
combined,0.2618479220996671,2,dd,0,2: sp. 1 density,species 1,42.857142857142854
combined,0.2691448322098572,2,dd,0,2: sp. 1 density,species 1,48.97959183673469
combined,0.2750900481997372,2,dd,0,2: sp. 1 density,species 1,55.10204081632653
combined,0.28002731441569395,2,dd,0,2: sp. 1 density,species 1,61.224489795918366
combined,0.2841929323679465,2,dd,0,2: sp. 1 density,species 1,67.3469387755102
combined,0.28775468101729285,2,dd,0,2: sp. 1 density,species 1,73.46938775510203
combined,0.2908350229872915,2,dd,0,2: sp. 1 density,species 1,79.59183673469387
combined,0.2935253674504337,2,dd,0,2: sp. 1 density,species 1,85.71428571428571
combined,0.29589534461936046,2,dd,0,2: sp. 1 density,species 1,91.83673469387755
combined,0.29799900087898296,2,dd,0,2: sp. 1 density,species 1,97.95918367346938
combined,0.2998786146934497,2,dd,0,2: sp. 1 density,species 1,104.08163265306122
combined,0.3015687306016605,2,dd,0,2: sp. 1 density,species 1,110.20408163265306
combined,0.3030961156371112,2,dd,0,2: sp. 1 density,species 1,116.3265306122449
combined,0.3044834402230614,2,dd,0,2: sp. 1 density,species 1,122.44897959183673
combined,0.3057489445884125,2,dd,0,2: sp. 1 density,species 1,128.57142857142856
combined,0.30690805761232853,2,dd,0,2: sp. 1 density,species 1,134.6938775510204
combined,0.30797372911059767,2,dd,0,2: sp. 1 density,species 1,140.81632653061223
combined,0.30895679657450253,2,dd,0,2: sp. 1 density,species 1,146.93877551020407
combined,0.3098664721570021,2,dd,0,2: sp. 1 density,species 1,153.0612244897959
combined,0.31071072299198765,2,dd,0,2: sp. 1 density,species 1,159.18367346938774
combined,0.31149631377022136,2,dd,0,2: sp. 1 density,species 1,165.30612244897958
combined,0.3122291818379062,2,dd,0,2: sp. 1 density,species 1,171.42857142857142
combined,0.3129144583041939,2,dd,0,2: sp. 1 density,species 1,177.55102040816325
combined,0.3135566324138753,2,dd,0,2: sp. 1 density,species 1,183.6734693877551
combined,0.31415963459380725,2,dd,0,2: sp. 1 density,species 1,189.79591836734693
combined,0.31472696034211767,2,dd,0,2: sp. 1 density,species 1,195.91836734693877
combined,0.3152616808806575,2,dd,0,2: sp. 1 density,species 1,202.0408163265306
combined,0.3157665371454651,2,dd,0,2: sp. 1 density,species 1,208.16326530612244
combined,0.31624391988863537,2,dd,0,2: sp. 1 density,species 1,214.28571428571428
combined,0.31669604666349516,2,dd,0,2: sp. 1 density,species 1,220.40816326530611
combined,0.3171249077156078,2,dd,0,2: sp. 1 density,species 1,226.53061224489795
combined,0.31753216243066623,2,dd,0,2: sp. 1 density,species 1,232.6530612244898
combined,0.3179195110039322,2,dd,0,2: sp. 1 density,species 1,238.77551020408163
combined,0.3182882756033925,2,dd,0,2: sp. 1 density,species 1,244.89795918367346
combined,0.31863981449699746,2,dd,0,2: sp. 1 density,species 1,251.0204081632653
combined,0.31897532768480275,2,dd,0,2: sp. 1 density,species 1,257.1428571428571
combined,0.3192958279196291,2,dd,0,2: sp. 1 density,species 1,263.265306122449
combined,0.31960234830059564,2,dd,0,2: sp. 1 density,species 1,269.3877551020408
combined,0.3198957697681777,2,dd,0,2: sp. 1 density,species 1,275.51020408163265
combined,0.32017690676191957,2,dd,0,2: sp. 1 density,species 1,281.63265306122446
combined,0.32044652513353383,2,dd,0,2: sp. 1 density,species 1,287.7551020408163
combined,0.32070537059209714,2,dd,0,2: sp. 1 density,species 1,293.87755102040813
combined,0.3209539091471791,2,dd,0,2: sp. 1 density,species 1,300
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 1,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
species 2,NaN,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
species 2,0,3,dd,0,3: sp. 2 density,species 1,10
combined,0.28636363648833263,3,dd,0,3: sp. 2 density,species 1,10
combined,0.18396901080716527,3,dd,0,3: sp. 2 density,species 1,10
combined,0.13551360848745556,3,dd,0,3: sp. 2 density,species 1,10
combined,0.10726198753802083,3,dd,0,3: sp. 2 density,species 1,10
combined,0.08875790688166303,3,dd,0,3: sp. 2 density,species 1,10
combined,0.07569887202903976,3,dd,0,3: sp. 2 density,species 1,10
combined,0.06598973923352378,3,dd,0,3: sp. 2 density,species 1,10
combined,0.05848806368594624,3,dd,0,3: sp. 2 density,species 1,10
combined,0.052517863241650954,3,dd,0,3: sp. 2 density,species 1,10
combined,0.04765359680988335,3,dd,0,3: sp. 2 density,species 1,10
combined,0.04361401527753947,3,dd,0,3: sp. 2 density,species 1,10
combined,0.040205782773433764,3,dd,0,3: sp. 2 density,species 1,10
combined,0.03729161634868621,3,dd,0,3: sp. 2 density,species 1,10
combined,0.034771344912640736,3,dd,0,3: sp. 2 density,species 1,10
combined,0.03257016249571898,3,dd,0,3: sp. 2 density,species 1,10
combined,0.030631077608099275,3,dd,0,3: sp. 2 density,species 1,10
combined,0.0289099082351025,3,dd,0,3: sp. 2 density,species 1,10
combined,0.027371874457742907,3,dd,0,3: sp. 2 density,species 1,10
combined,0.025989223786363404,3,dd,0,3: sp. 2 density,species 1,10
combined,0.024739541603976963,3,dd,0,3: sp. 2 density,species 1,10
combined,0.023604526696316297,3,dd,0,3: sp. 2 density,species 1,10
combined,0.02256908905793424,3,dd,0,3: sp. 2 density,species 1,10
combined,0.02162067517400368,3,dd,0,3: sp. 2 density,species 1,10
combined,0.020748756562335297,3,dd,0,3: sp. 2 density,species 1,10
combined,0.019944437274481492,3,dd,0,3: sp. 2 density,species 1,10
combined,0.019200149280658326,3,dd,0,3: sp. 2 density,species 1,10
combined,0.018509413606812842,3,dd,0,3: sp. 2 density,species 1,10
combined,0.017866651240561672,3,dd,0,3: sp. 2 density,species 1,10
combined,0.0172670321140186,3,dd,0,3: sp. 2 density,species 1,10
combined,0.01670635350873604,3,dd,0,3: sp. 2 density,species 1,10
combined,0.016180941405515493,3,dd,0,3: sp. 2 density,species 1,10
combined,0.015687569881818506,3,dd,0,3: sp. 2 density,species 1,10
combined,0.015223394818740733,3,dd,0,3: sp. 2 density,species 1,10
combined,0.014785899038912951,3,dd,0,3: sp. 2 density,species 1,10
combined,0.014372846640023492,3,dd,0,3: sp. 2 density,species 1,10
combined,0.013982244774636497,3,dd,0,3: sp. 2 density,species 1,10
combined,0.0136123114972407,3,dd,0,3: sp. 2 density,species 1,10
combined,0.013261448583831282,3,dd,0,3: sp. 2 density,species 1,10
combined,0.0129282184493854,3,dd,0,3: sp. 2 density,species 1,10
combined,0.012611324460103953,3,dd,0,3: sp. 2 density,species 1,10
combined,0.01230959407187274,3,dd,0,3: sp. 2 density,species 1,10
combined,0.012021964332674844,3,dd,0,3: sp. 2 density,species 1,10
combined,0.011747469371125073,3,dd,0,3: sp. 2 density,species 1,10
combined,0.011485229560771807,3,dd,0,3: sp. 2 density,species 1,10
combined,0.011234442104025936,3,dd,0,3: sp. 2 density,species 1,10
combined,0.010994372823364365,3,dd,0,3: sp. 2 density,species 1,10
combined,0.01076434898299828,3,dd,0,3: sp. 2 density,species 1,10
combined,0.010543752993183435,3,dd,0,3: sp. 2 density,species 1,10
combined,0.010332016873098088,3,dd,0,3: sp. 2 density,species 1,10
combined,0.010128617367754597,3,dd,0,3: sp. 2 density,species 1,10
species 1,1.5586101299169553e-6,4,dd,0,4: sp. 1 rel. abundance,species 1,0
species 1,0.2607927449209486,4,dd,0,4: sp. 1 rel. abundance,species 1,6.122448979591836
species 1,0.2943246019242544,4,dd,0,4: sp. 1 rel. abundance,species 1,12.244897959183673
species 1,0.3066561291653196,4,dd,0,4: sp. 1 rel. abundance,species 1,18.36734693877551
species 1,0.31306378217917646,4,dd,0,4: sp. 1 rel. abundance,species 1,24.489795918367346
species 1,0.3169895163121507,4,dd,0,4: sp. 1 rel. abundance,species 1,30.612244897959183
species 1,0.31964124764236274,4,dd,0,4: sp. 1 rel. abundance,species 1,36.73469387755102
species 1,0.321552660037702,4,dd,0,4: sp. 1 rel. abundance,species 1,42.857142857142854
species 1,0.32299577862996043,4,dd,0,4: sp. 1 rel. abundance,species 1,48.97959183673469
species 1,0.3241239236518545,4,dd,0,4: sp. 1 rel. abundance,species 1,55.10204081632653
species 1,0.3250300641906004,4,dd,0,4: sp. 1 rel. abundance,species 1,61.224489795918366
species 1,0.3257738630518204,4,dd,0,4: sp. 1 rel. abundance,species 1,67.3469387755102
species 1,0.3263953479667227,4,dd,0,4: sp. 1 rel. abundance,species 1,73.46938775510203
species 1,0.3269224277134935,4,dd,0,4: sp. 1 rel. abundance,species 1,79.59183673469387
species 1,0.32737508033598534,4,dd,0,4: sp. 1 rel. abundance,species 1,85.71428571428571
species 1,0.3277680020964954,4,dd,0,4: sp. 1 rel. abundance,species 1,91.83673469387755
species 1,0.32811232536458906,4,dd,0,4: sp. 1 rel. abundance,species 1,97.95918367346938
species 1,0.3284162960295923,4,dd,0,4: sp. 1 rel. abundance,species 1,104.08163265306122
species 1,0.32868722537039197,4,dd,0,4: sp. 1 rel. abundance,species 1,110.20408163265306
species 1,0.32892966871802665,4,dd,0,4: sp. 1 rel. abundance,species 1,116.3265306122449
species 1,0.3291481593021326,4,dd,0,4: sp. 1 rel. abundance,species 1,122.44897959183673
species 1,0.329345886287629,4,dd,0,4: sp. 1 rel. abundance,species 1,128.57142857142856
species 1,0.32952573669640634,4,dd,0,4: sp. 1 rel. abundance,species 1,134.6938775510204
species 1,0.32969010949111177,4,dd,0,4: sp. 1 rel. abundance,species 1,140.81632653061223
species 1,0.3298408951151987,4,dd,0,4: sp. 1 rel. abundance,species 1,146.93877551020407
species 1,0.329979675410006,4,dd,0,4: sp. 1 rel. abundance,species 1,153.0612244897959
species 1,0.3301078760390091,4,dd,0,4: sp. 1 rel. abundance,species 1,159.18367346938774
species 1,0.3302266111990361,4,dd,0,4: sp. 1 rel. abundance,species 1,165.30612244897958
species 1,0.33033692229246614,4,dd,0,4: sp. 1 rel. abundance,species 1,171.42857142857142
species 1,0.3304396708506626,4,dd,0,4: sp. 1 rel. abundance,species 1,177.55102040816325
species 1,0.33053560797833587,4,dd,0,4: sp. 1 rel. abundance,species 1,183.6734693877551
species 1,0.3306253764860914,4,dd,0,4: sp. 1 rel. abundance,species 1,189.79591836734693
species 1,0.3307095710341725,4,dd,0,4: sp. 1 rel. abundance,species 1,195.91836734693877
species 1,0.3307886909953951,4,dd,0,4: sp. 1 rel. abundance,species 1,202.0408163265306
species 1,0.3308631907898479,4,dd,0,4: sp. 1 rel. abundance,species 1,208.16326530612244
species 1,0.33093341848996555,4,dd,0,4: sp. 1 rel. abundance,species 1,214.28571428571428
species 1,0.33099976708612516,4,dd,0,4: sp. 1 rel. abundance,species 1,220.40816326530611
species 1,0.33106258865386645,4,dd,0,4: sp. 1 rel. abundance,species 1,226.53061224489795
species 1,0.3311220619494914,4,dd,0,4: sp. 1 rel. abundance,species 1,232.6530612244898
species 1,0.3311785594669437,4,dd,0,4: sp. 1 rel. abundance,species 1,238.77551020408163
species 1,0.3312321925297484,4,dd,0,4: sp. 1 rel. abundance,species 1,244.89795918367346
species 1,0.33128322765624346,4,dd,0,4: sp. 1 rel. abundance,species 1,251.0204081632653
species 1,0.3313318705392225,4,dd,0,4: sp. 1 rel. abundance,species 1,257.1428571428571
species 1,0.3313782246823613,4,dd,0,4: sp. 1 rel. abundance,species 1,263.265306122449
species 1,0.33142249704142834,4,dd,0,4: sp. 1 rel. abundance,species 1,269.3877551020408
species 1,0.33146481008011297,4,dd,0,4: sp. 1 rel. abundance,species 1,275.51020408163265
species 1,0.3315052831294074,4,dd,0,4: sp. 1 rel. abundance,species 1,281.63265306122446
species 1,0.3315440442031099,4,dd,0,4: sp. 1 rel. abundance,species 1,287.7551020408163
species 1,0.3315812534622011,4,dd,0,4: sp. 1 rel. abundance,species 1,293.87755102040813
species 1,0.3316168297168528,4,dd,0,4: sp. 1 rel. abundance,species 1,300
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,0
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,6.122448979591836
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,12.244897959183673
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,18.36734693877551
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,24.489795918367346
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,30.612244897959183
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,36.73469387755102
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,42.857142857142854
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,48.97959183673469
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,55.10204081632653
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,61.224489795918366
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,67.3469387755102
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,73.46938775510203
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,79.59183673469387
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,85.71428571428571
species 2,0,4,dd,0,4: sp. 1 rel. abundance,species 1,91.83673469387755
