year,experiment,plot,subplot,bg.species,competition.density,native.density,nonnative.density,total.density,natdens.s,nondens.s,year.f
2016,competition,competition_99,competition_99,BD seed,40,12,255.66666666666669,267.6666666666667,-0.16658416272616117,-0.06660106512211304,2016
2016,competition,competition_101,competition_101,EG adult,8,18,50.3333333333333,68.3333333333333,-0.05681857982908651,-0.5476812382750028,2016
2016,competition,competition_31,competition_31,SP adult,10,17,89.3333333333334,106.3333333333334,-0.07511284364526562,-0.45630724434823616,2016
2016,competition,competition_104,competition_104,SP seed,10,15,56,71,-0.11170137127762383,-0.5344046750548743,2016
2016,competition,competition_106,competition_106,BD seed,10,2,194.1111111111111,196.1111111111111,-0.34952680088795224,-0.21082098716037118,2016
2016,competition,competition_107,competition_107,EG seed,100,378,143,521,6.529116393995392,-0.3305703809105493,2016
2016,competition,competition_108,competition_108,AB seed,100,13,128.2222222222222,141.2222222222222,-0.14828989890998204,-0.36519357519049217,2016
2016,competition,competition_32,competition_32,SP adult,10,25,55,80,0.07124126688416725,-0.5367475979760734,2016
2016,competition,competition_111,competition_111,BD seed,20,9,177.88888888888891,186.88888888888891,-0.22146695417469847,-0.24882840343760151,2016
2016,competition,competition_112,competition_112,BH seed,40,7,1398.2222222222222,1405.2222222222222,-0.2580554818070567,2.6103185347324125,2016
2016,competition,competition_113,competition_113,BD seed,20,18,333.8888888888889,351.8888888888889,-0.05681857982908651,0.11666757226946398,2016
2016,competition,competition_114,competition_114,AB seed,20,16,82.2222222222222,98.2222222222222,-0.09340710746144473,-0.4729680295656525,2016
2016,competition,competition_121,competition_121,BD seed,100,18,303.3333333333333,321.3333333333333,-0.05681857982908651,0.0450782607883791,2016
2016,competition,competition_127,competition_127,AB seed,80,9,196.3333333333334,205.3333333333334,-0.22146695417469847,-0.20561449177992844,2016
2016,competition,competition_128,competition_128,SP seed,80,16,182.6666666666666,198.6666666666666,-0.09340710746144473,-0.2376344383696503,2016
2016,competition,competition_129,competition_129,SP seed,80,18,144,162,-0.05681857982908651,-0.32822745798935016,2016
2016,competition,competition_38,competition_38,SP adult,8,14,50,64,-0.12999563509380294,-0.5484622125820691,2016
2016,competition,competition_130,competition_130,EG adult,10,12,28.77777777777778,40.77777777777778,-0.16658416272616117,-0.5981842434652953,2016
2016,competition,competition_136,competition_136,BH seed,80,4,1210,1214,-0.31293827325559403,2.169328376008931,2016
2016,competition,competition_138,competition_138,BH seed,80,9,2560,2569,-0.22146695417469847,5.332274319627767,2016
2016,competition,competition_58,competition_58,SP adult,2,12,99,111,-0.16658416272616117,-0.4336589894433113,2016
2016,competition,competition_140,competition_140,EG seed,10,23,112.2222222222222,135.2222222222222,0.03465273925180903,-0.40268034192967833,2016
2016,competition,competition_143,competition_143,EG seed,20,62,199.6666666666666,261.66666666666663,0.7481290280827942,-0.19780474870926495,2016
2016,competition,competition_147,competition_147,BD seed,10,3,382,385,-0.33123253707177314,0.22938819725604465,2016
2016,competition,competition_149,competition_149,SP seed,40,12,39,51,-0.16658416272616117,-0.5742343647152596,2016
2016,competition,competition_152,competition_152,EG adult,10,18,96,114,-0.05681857982908651,-0.44068775820690875,2016
2016,competition,competition_157,competition_157,EG adult,6,11,154,165,-0.18487842654234027,-0.3047982287773588,2016
2016,competition,competition_59,competition_59,SP adult,2,8,79.4444444444444,87.4444444444444,-0.2397612179908776,-0.4794761487912057,2016
2016,competition,competition_162,competition_162,EG adult,6,8,128,136,-0.2397612179908776,-0.3657142247285364,2016
2016,competition,competition_167,competition_167,AB seed,40,6,193,199,-0.27634974562323583,-0.2134242348505924,2016
2016,competition,competition_170,competition_170,EG seed,100,183,228.88888888888889,411.8888888888889,2.9617349498404666,-0.12933933445644558,2016
2016,competition,competition_171,competition_171,BH seed,40,3,1126.5555555555557,1129.5555555555557,-0.33123253707177314,1.973824474473314,2016
2016,competition,competition_172,competition_172,EG seed,20,33,151,184,0.2175953774136001,-0.31182699754095616,2016
2016,competition,competition_175,competition_175,EG adult,2,8,31,39,-0.2397612179908776,-0.5929777480848527,2016
2016,competition,competition_13,competition_13,All,1,2,102.44444444444444,104.44444444444444,-0.34952680088795224,-0.4255889216036254,2016
2016,competition,competition_15,competition_15,All,1,2.5,162.72222222222223,165.22222222222223,-0.34037966897986266,-0.28436273440912185,2016
2016,competition,competition_17,competition_17,All,1,3,124.2222222222222,127.2222222222222,-0.33123253707177314,-0.3745652668752887,2016
2016,competition,competition_22,competition_22,All,1,3.5,46.61111111111112,50.11111111111112,-0.32208540516368356,-0.5564021180372439,2016
2016,competition,competition_187,competition_187,BD seed,80,7,172.1111111111111,179.1111111111111,-0.2580554818070567,-0.26236529142675225,2016
2016,competition,competition_188,competition_188,AB seed,10,5,215,220,-0.29464400943941493,-0.16187993058421135,2016
2016,competition,competition_191,competition_191,BD seed,80,3,686.7777777777778,689.7777777777778,-0.33123253707177314,0.9434590386837376,2016
2016,competition,competition_196,competition_196,BH seed,20,3,1081.3333333333335,1084.3333333333335,-0.33123253707177314,1.8678722934813088,2016
2016,competition,competition_199,competition_199,BD seed,40,7,86,93,-0.2580554818070567,-0.4641169874189001,2016
2016,competition,competition_210,competition_210,EG seed,40,16,112.6666666666666,128.6666666666666,-0.09340710746144473,-0.4016390428535899,2016
2016,competition,competition_211,competition_211,EG seed,80,36,89,125,0.27247816886213744,-0.45708821865530275,2016
2016,competition,competition_52,competition_52,SP adult,4,8,54.8888888888888,62.8888888888888,-0.2397612179908776,-0.5370079227450958,2016
2016,competition,competition_41,competition_41,SP adult,8,11,124.6666666666666,135.6666666666666,-0.18487842654234027,-0.3735239677992003,2016
2016,competition,competition_212,competition_212,EG adult,2,5,67,72,-0.29464400943941493,-0.5086325229216837,2016
2016,competition,competition_213,competition_213,SP seed,20,9,250,259,-0.22146695417469847,-0.07987762834224153,2016
2016,competition,competition_218,competition_218,SP seed,100,10,116,126,-0.20317269035851937,-0.393829299782926,2016
