year,experiment,plot,subplot,bg.species,competition.density,host,mean.dam,leaves.dam,leaves.tot,prop.dam,native.density,nonnative.density,nonnative,origin,total.density,natdens.s,nondens.s
2016,competition,competition_70,competition_70,EG seed,80,BH,0,0,2,0,35.3333333333333,150,1,non-native,185.33333333333331,0.21803124983171154,-0.3204811800001
2016,competition,competition_70,competition_70,EG seed,80,EG,0.004,3,3,1,35.3333333333333,150,0,native,185.33333333333331,0.21803124983171154,-0.3204811800001
2016,competition,competition_70,competition_70,EG seed,80,SP,0.017,2,3,0.6666666666666666,35.3333333333333,150,0,native,185.33333333333331,0.21803124983171154,-0.3204811800001
2016,competition,competition_70,competition_70,EG seed,80,EG,0.006666666666666666,2,3,0.6666666666666666,35.3333333333333,150,0,native,185.33333333333331,0.21803124983171154,-0.3204811800001
2016,competition,competition_70,competition_70,EG seed,80,SP,0.003666666666666667,2,3,0.6666666666666666,35.3333333333333,150,0,native,185.33333333333331,0.21803124983171154,-0.3204811800001
2016,competition,competition_72,competition_72,SP seed,40,AB,0.003666666666666667,2,3,0.6666666666666666,11,253,1,non-native,264,-0.19707420257688138,-0.09124549859784863
2016,competition,competition_72,competition_72,SP seed,40,BD,0.001,2,2,1,11,253,1,non-native,264,-0.19707420257688138,-0.09124549859784863
2016,competition,competition_72,competition_72,SP seed,40,BH,0,0,3,0,11,253,1,non-native,264,-0.19707420257688138,-0.09124549859784863
2016,competition,competition_72,competition_72,SP seed,40,EG,0.006666666666666666,2,3,0.6666666666666666,11,253,0,native,264,-0.19707420257688138,-0.09124549859784863
2016,competition,competition_72,competition_72,SP seed,40,SP,0.003333333333333333,1,3,0.3333333333333333,11,253,0,native,264,-0.19707420257688138,-0.09124549859784863
2016,competition,competition_72,competition_72,SP seed,40,EG,0.006999999999999999,3,3,1,11,253,0,native,264,-0.19707420257688138,-0.09124549859784863
2016,competition,competition_72,competition_72,SP seed,40,SP,0.006999999999999999,3,3,1,11,253,0,native,264,-0.19707420257688138,-0.09124549859784863
2016,competition,competition_74,competition_74,EG seed,10,AB,3.333333333333333e-4,1,3,0.3333333333333333,2,158,1,non-native,160,-0.35060635620745706,-0.30267646688147853
2016,competition,competition_74,competition_74,EG seed,10,BD,0,0,3,0,2,158,1,non-native,160,-0.35060635620745706,-0.30267646688147853
2016,competition,competition_74,competition_74,EG seed,10,BH,0,0,3,0,2,158,1,non-native,160,-0.35060635620745706,-0.30267646688147853
2016,competition,competition_74,competition_74,EG seed,10,EG,0.003666666666666667,2,3,0.6666666666666666,2,158,0,native,160,-0.35060635620745706,-0.30267646688147853
2016,competition,competition_74,competition_74,EG seed,10,EG,0.18366666666666667,3,3,1,2,158,0,native,160,-0.35060635620745706,-0.30267646688147853
2016,competition,competition_74,competition_74,EG seed,10,SP,0.023333333333333334,3,3,1,2,158,0,native,160,-0.35060635620745706,-0.30267646688147853
2016,competition,competition_80,competition_80,BH seed,10,AB,0.003666666666666667,2,3,0.6666666666666666,5,527.7777777777777,1,non-native,532.7777777777777,-0.29942897166393184,0.520296939490358
2016,competition,competition_80,competition_80,BH seed,10,BH,0.001,2,2,1,5,527.7777777777777,1,non-native,532.7777777777777,-0.29942897166393184,0.520296939490358
2016,competition,competition_80,competition_80,BH seed,10,EG,0.003666666666666667,2,3,0.6666666666666666,5,527.7777777777777,0,native,532.7777777777777,-0.29942897166393184,0.520296939490358
2016,competition,competition_80,competition_80,BH seed,10,SP,0.004,3,3,1,5,527.7777777777777,0,native,532.7777777777777,-0.29942897166393184,0.520296939490358
2016,competition,competition_80,competition_80,BH seed,10,EG,0.001,3,3,1,5,527.7777777777777,0,native,532.7777777777777,-0.29942897166393184,0.520296939490358
2016,competition,competition_80,competition_80,BH seed,10,SP,0.03666666666666667,3,3,1,5,527.7777777777777,0,native,532.7777777777777,-0.29942897166393184,0.520296939490358
2016,competition,competition_81,competition_81,BH seed,100,AB,5e-4,1,2,0.5,5,1022.2222222222222,1,non-native,1027.2222222222222,-0.29942897166393184,1.6207271252940458
2016,competition,competition_81,competition_81,BH seed,100,BH,0.001,1,1,1,5,1022.2222222222222,1,non-native,1027.2222222222222,-0.29942897166393184,1.6207271252940458
2016,competition,competition_81,competition_81,BH seed,100,EG,6.666666666666666e-4,2,3,0.6666666666666666,5,1022.2222222222222,0,native,1027.2222222222222,-0.29942897166393184,1.6207271252940458
2016,competition,competition_81,competition_81,BH seed,100,SP,6.666666666666666e-4,2,3,0.6666666666666666,5,1022.2222222222222,0,native,1027.2222222222222,-0.29942897166393184,1.6207271252940458
2016,competition,competition_81,competition_81,BH seed,100,EG,6.666666666666666e-4,2,3,0.6666666666666666,5,1022.2222222222222,0,native,1027.2222222222222,-0.29942897166393184,1.6207271252940458
2016,competition,competition_81,competition_81,BH seed,100,SP,0.05333333333333333,3,3,1,5,1022.2222222222222,0,native,1027.2222222222222,-0.29942897166393184,1.6207271252940458
2016,competition,competition_82,competition_82,AB seed,100,AB,0.006999999999999999,3,3,1,5,215,1,non-native,220,-0.29942897166393184,-0.1758178859113006
2016,competition,competition_82,competition_82,AB seed,100,BH,0,0,3,0,5,215,1,non-native,220,-0.29942897166393184,-0.1758178859113006
2016,competition,competition_82,competition_82,AB seed,100,EG,6.666666666666666e-4,2,3,0.6666666666666666,5,215,0,native,220,-0.29942897166393184,-0.1758178859113006
2016,competition,competition_82,competition_82,AB seed,100,EG,0.006666666666666666,2,3,0.6666666666666666,5,215,0,native,220,-0.29942897166393184,-0.1758178859113006
2016,competition,competition_82,competition_82,AB seed,100,SP,0.033666666666666664,3,3,1,5,215,0,native,220,-0.29942897166393184,-0.1758178859113006
2016,competition,competition_84,competition_84,EG adult,8,AB,0.006666666666666666,2,3,0.6666666666666666,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_84,competition_84,EG adult,8,BD,0,0,2,0,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_84,competition_84,EG adult,8,BH,0,0,2,0,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_84,competition_84,EG adult,8,EG,0.003333333333333333,1,3,0.3333333333333333,NA,NA,0,native,NA,NA,NA
2016,competition,competition_84,competition_84,EG adult,8,SP,0.006999999999999999,3,3,1,NA,NA,0,native,NA,NA,NA
2016,competition,competition_84,competition_84,EG adult,8,EG,0.001,3,3,1,NA,NA,0,native,NA,NA,NA
2016,competition,competition_84,competition_84,EG adult,8,SP,0.017,2,3,0.6666666666666666,NA,NA,0,native,NA,NA,NA
2016,competition,competition_85,competition_85,EG adult,4,AB,0.003333333333333333,1,3,0.3333333333333333,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_85,competition_85,EG adult,4,BH,5e-4,1,2,0.5,NA,NA,1,non-native,NA,NA,NA
2016,competition,competition_85,competition_85,EG adult,4,EG,3.333333333333333e-4,1,3,0.3333333333333333,NA,NA,0,native,NA,NA,NA
2016,competition,competition_85,competition_85,EG adult,4,SP,3.333333333333333e-4,1,3,0.3333333333333333,NA,NA,0,native,NA,NA,NA
2016,competition,competition_85,competition_85,EG adult,4,EG,0.003333333333333333,1,3,0.3333333333333333,NA,NA,0,native,NA,NA,NA
2016,competition,competition_85,competition_85,EG adult,4,SP,0.023333333333333334,3,3,1,NA,NA,0,native,NA,NA,NA
2016,competition,competition_86,competition_86,SP seed,10,AB,0,0,3,0,10,95,1,non-native,105,-0.21413333075805646,-0.4428885826906226
2016,competition,competition_86,competition_86,SP seed,10,BD,0,0,1,0,10,95,1,non-native,105,-0.21413333075805646,-0.4428885826906226
2016,competition,competition_86,competition_86,SP seed,10,BH,0,0,3,0,10,95,1,non-native,105,-0.21413333075805646,-0.4428885826906226
2016,competition,competition_86,competition_86,SP seed,10,EG,3.333333333333333e-4,1,3,0.3333333333333333,10,95,0,native,105,-0.21413333075805646,-0.4428885826906226
2016,competition,competition_86,competition_86,SP seed,10,SP,0,0,3,0,10,95,0,native,105,-0.21413333075805646,-0.4428885826906226
2016,competition,competition_86,competition_86,SP seed,10,EG,6.666666666666666e-4,2,3,0.6666666666666666,10,95,0,native,105,-0.21413333075805646,-0.4428885826906226
2016,competition,competition_86,competition_86,SP seed,10,SP,0.003333333333333333,1,3,0.3333333333333333,10,95,0,native,105,-0.21413333075805646,-0.4428885826906226
2016,competition,competition_43,competition_43,SP adult,6,AB,0.003666666666666667,2,3,0.6666666666666666,11,102,1,non-native,113,-0.19707420257688138,-0.42730945871182885
2016,competition,competition_43,competition_43,SP adult,6,BD,3.333333333333333e-4,1,3,0.3333333333333333,11,102,1,non-native,113,-0.19707420257688138,-0.42730945871182885
2016,competition,competition_43,competition_43,SP adult,6,BH,0,0,3,0,11,102,1,non-native,113,-0.19707420257688138,-0.42730945871182885
2016,competition,competition_43,competition_43,SP adult,6,EG,0.006999999999999999,3,3,1,11,102,0,native,113,-0.19707420257688138,-0.42730945871182885
2016,competition,competition_43,competition_43,SP adult,6,SP,0.01,3,3,1,11,102,0,native,113,-0.19707420257688138,-0.42730945871182885
2016,competition,competition_43,competition_43,SP adult,6,SP,3.333333333333333e-4,1,3,0.3333333333333333,11,102,0,native,113,-0.19707420257688138,-0.42730945871182885
